"empleo_fl","sexo","tipo_edu","region","egreso","hab_dig","hab_ciud","hab_num","hab_verb"
0,0,1,"Metropolitana",2023,560,560,585,582
1,0,0,"Coquimbo",2023,613,613,549,600
1,1,0,"Metropolitana",2022,886,965,600,0
0,0,1,"Los Rios",2023,560,560,0,0
1,0,0,"Araucania",2022,870,954,513,0
1,1,0,"Coquimbo",2022,551,551,593,584
1,0,0,"Nuble",2022,808,816,917,591
0,0,0,"Metropolitana",2023,694,702,489,620
0,0,0,"Nuble",2021,463,466,0,0
0,0,1,"Araucania",2023,497,497,436,317
1,1,0,"Araucania",2023,742,745,436,489
1,0,0,"Metropolitana",2023,650,650,731,625
1,1,0,"Metropolitana",2022,842,868,844,799
0,1,0,"Valparaiso",2023,956,965,576,651
1,0,0,"Valparaiso",2023,757,760,593,611
1,1,1,"Metropolitana",2023,937,980,642,611
0,0,0,"Metropolitana",2023,823,841,628,759
1,0,0,"Metropolitana",2023,814,814,897,833
0,0,0,"Los Rios",2023,632,642,0,0
0,1,1,"Araucania",2019,658,666,593,573
1,1,0,"Araucania",2022,657,658,436,534
0,0,0,"Valparaiso",2023,727,740,403,510
1,0,0,"Metropolitana",2022,463,463,705,576
1,1,0,"Coquimbo",2023,713,713,575,837
1,1,0,"Los Lagos",2014,493,493,0,519
1,1,1,"Metropolitana",2023,808,855,599,600
1,1,0,"Biobio",2022,951,964,628,597
1,1,0,"Biobio",2023,551,552,523,500
0,0,0,"Metropolitana",2023,542,542,489,463
0,0,0,"Biobio",2023,736,737,917,726
1,1,0,"Valparaiso",2022,751,936,593,563
0,0,0,"Los Lagos",2023,757,779,513,540
1,0,0,"Metropolitana",2023,594,594,535,519
0,1,1,"Araucania",2023,743,760,0,0
1,1,0,"Los Lagos",2022,814,830,731,620
0,1,1,"Metropolitana",2023,637,659,0,0
0,1,0,"Antofagasta",2023,808,815,688,699
1,1,0,"Metropolitana",2023,922,988,696,699
0,0,0,"Metropolitana",2022,580,580,731,656
0,0,1,"Metropolitana",2020,299,320,705,699
0,0,1,"Metropolitana",2023,523,525,489,563
0,0,0,"Coquimbo",2023,441,441,424,573
1,1,1,"Metropolitana",2023,667,704,450,567
1,1,0,"Valparaiso",2023,694,706,717,754
0,0,0,"Metropolitana",2023,613,613,575,636
0,1,0,"Maule",2023,886,892,576,641
0,1,1,"Metropolitana",2023,644,716,465,591
0,0,0,"Metropolitana",2023,409,409,575,607
1,1,0,"Metropolitana",2022,900,931,785,759
1,0,0,"Arica",2023,837,843,844,656
0,0,0,"Nuble",2022,479,479,679,799
1,0,0,"Metropolitana",2019,708,708,696,0
1,1,0,"Metropolitana",2023,865,869,746,726
1,0,1,"Maule",2023,497,497,593,549
0,0,0,"Metropolitana",2022,851,857,879,854
1,0,0,"Valparaiso",2023,771,777,657,620
0,1,0,"Araucania",2023,922,944,797,774
1,0,0,"Metropolitana",2023,432,432,705,611
0,1,1,"Metropolitana",2023,900,936,0,636
1,1,0,"Tarapaca",2020,699,695,563,625
0,1,1,"Araucania",2023,433,433,465,418
1,1,0,"Metropolitana",2022,713,734,505,641
1,0,0,"Metropolitana",2023,900,988,498,473
1,1,0,"Metropolitana",2023,893,903,746,770
0,1,0,"Coquimbo",2023,519,519,403,378
0,1,0,"Los Lagos",2023,727,835,403,438
0,1,1,"Tarapaca",2023,506,506,513,625
0,1,1,"Metropolitana",2020,587,604,535,534
0,1,1,"Biobio",2023,724,762,392,476
0,0,0,"Metropolitana",2023,594,594,523,481
1,1,0,"Metropolitana",2022,793,830,607,620
0,0,0,"Valparaiso",2023,536,536,413,423
1,1,0,"Metropolitana",2022,828,837,607,721
1,1,0,"Coquimbo",2023,856,1000,628,656
1,1,0,"Valparaiso",2021,742,751,0,0
1,0,0,"Nuble",2023,814,817,879,510
0,0,0,"Metropolitana",2023,814,818,575,696
0,0,0,"Aysen",2020,664,778,628,721
1,0,0,"Magallanes",2023,779,807,575,651
1,0,1,"OHiggins",2023,815,837,599,584
