Navegador,Tiempo
Chrome,1324.7
Chrome,1267.6
Chrome,1338.3
Chrome,1417.1
Chrome,1258.9
Chrome,1258.9
Chrome,1422.1
Chrome,1349.1
Chrome,1237.7
Chrome,1328.8
Chrome,1238.3
Chrome,1238.1
Chrome,1301.8
Chrome,1107.8
Chrome,1124.8
Chrome,1229.4
Chrome,1188.8
Chrome,1308.3
Chrome,1198.3
Chrome,1152.9
Chrome,1411.9
Chrome,1259.7
Chrome,1286.1
Chrome,1151.8
Chrome,1231.0
Chrome,1290.0
Chrome,1176.4
Chrome,1313.8
Chrome,1225.9
Chrome,1253.7
Chrome,1225.8
Chrome,1446.7
Chrome,1278.8
Chrome,1184.8
Chrome,1354.0
Chrome,1170.1
Chrome,1298.8
Chrome,1103.6
Chrome,1160.5
Chrome,1297.7
Firefox,1441.2
Firefox,1378.9
Firefox,1347.3
Firefox,1326.9
Firefox,1197.4
Firefox,1280.8
Firefox,1309.3
Firefox,1476.3
Firefox,1397.8
Firefox,1166.1
Firefox,1395.6
Firefox,1317.6
Firefox,1285.5
Firefox,1427.3
Firefox,1473.4
Firefox,1462.4
Firefox,1267.7
Firefox,1326.0
Firefox,1396.4
Firefox,1467.3
Firefox,1307.3
Firefox,1339.6
Firefox,1238.3
Firefox,1228.4
Firefox,1449.4
Firefox,1509.2
Firefox,1352.1
Firefox,1470.4
Firefox,1399.8
Firefox,1289.0
Firefox,1399.8
Firefox,1529.2
Firefox,1356.1
Firefox,1532.1
Firefox,1071.8
Firefox,1450.4
Firefox,1369.6
Firefox,1327.1
Firefox,1370.1
Firefox,1141.4
